Month,Season,State,High,Low,Precipitation,TempRange,HighLowMean
2,Winter,Wisconsin,-1.8,-12.5,2.9,10.7,-7.15
2,Winter,Wyoming,1.6,-10.8,2.5,12.4,-4.6
3,Spring,Alabama,20.2,6.6,13.7,13.6,13.4
3,Spring,Alaska,-6,-15.8,5.4,9.8,-10.9
3,Spring,Arizona,19.1,3.3,2.5,15.8,11.2
3,Spring,Arkansas,17.4,5,12.7,12.4,11.2
3,Spring,California,16.8,4,8.3,12.8,10.4
3,Spring,Colorado,10.4,-4.8,3.5,15.2,2.8
3,Spring,Connecticut,8.1,-2.7,10.6,10.8,2.7
3,Spring,Delaware,12.3,1.3,10.5,11,6.8
3,Spring,Florida,25,12.1,8.8,12.9,18.55
3,Spring,Georgia,20.6,6.9,11.8,13.7,13.75
3,Spring,Hawaii,25.2,17.5,13.6,7.7,21.35
3,Spring,Idaho,7.7,-4.1,6.2,11.8,1.8
3,Spring,Illinois,10.7,-0.3,7.5,11,5.2
3,Spring,Indiana,10.5,-0.5,8.5,11,5
3,Spring,Iowa,8,-3.1,5.1,11.1,2.45
3,Spring,Kansas,14.3,0,4.5,14.3,7.15
3,Spring,Kentucky,14.2,1.8,11.9,12.4,8
3,Spring,Louisiana,21.7,9.6,12.1,12.1,15.65
3,Spring,Maine,2.8,-8.4,8.5,11.2,-2.8
3,Spring,Maryland,12.1,0.8,10.1,11.3,6.45
3,Spring,Massachusetts,7.2,-3.5,10.9,10.7,1.85
3,Spring,Michigan,5,-6,5,11,-0.5
3,Spring,Minnesota,3.3,-7.9,3.3,11.2,-2.3
3,Spring,Mississippi,20.2,7.2,14,13,13.7
3,Spring,Missouri,13.4,1.1,8.5,12.3,7.25
3,Spring,Montana,6.6,-6.1,3.2,12.7,0.25
3,Spring,Nebraska,10.8,-3.3,3.2,14.1,3.75
3,Spring,Nevada,12.5,-1.3,2.8,13.8,5.6
3,Spring,New Hampshire,4.6,-7,9.1,11.6,-1.2
3,Spring,New Jersey,10.5,-0.5,10.7,11,5
3,Spring,New Mexico,16.5,-0.9,1.8,17.4,7.8
3,Spring,New York,5.2,-5.6,7.8,10.8,-0.2
3,Spring,North Carolina,16.7,3.6,10.5,13.1,10.15
3,Spring,North Dakota,2.9,-8.4,1.9,11.3,-2.75
3,Spring,Ohio,9.7,-1.1,8.3,10.8,4.3
3,Spring,Oklahoma,17.5,3.8,7.1,13.7,10.65
3,Spring,Oregon,10.1,-1.2,9.2,11.3,4.45
3,Spring,Pennsylvania,8.3,-2.9,9,11.2,2.7
3,Spring,Rhode Island,8.2,-1.9,12.2,10.1,3.15
3,Spring,South Carolina,19.6,6,10,13.6,12.8
3,Spring,South Dakota,7,-5.6,2.6,12.6,0.7
3,Spring,Tennessee,16,3.4,13.4,12.6,9.7
3,Spring,Texas,21.8,7.6,5.4,14.2,14.7
3,Spring,Utah,11.4,-2.1,3.2,13.5,4.65
3,Spring,Vermont,3.6,-7.7,8,11.3,-2.05
3,Spring,Virginia,14,1.3,9.9,12.7,7.65
3,Spring,Washington,9.3,-0.7,11.8,10,4.3
3,Spring,West Virginia,11.7,-0.4,10.5,12.1,5.65
3,Spring,Wisconsin,4.8,-6.5,4.6,11.3,-0.85
3,Spring,Wyoming,7.1,-6.3,3.1,13.4,0.4
4,Spring,Alabama,24.3,10.2,12.4,14.1,17.25
4,Spring,Alaska,1.7,-8.1,4.8,9.8,-3.2
4,Spring,Arizona,23.1,6.1,1,17,14.6
4,Spring,Arkansas,22.5,9.6,13.8,12.9,16.05
4,Spring,California,19.8,5.9,4.3,13.9,12.85
4,Spring,Colorado,14.2,-1.3,4.6,15.5,6.45
4,Spring,Connecticut,14.9,2.5,10.6,12.4,8.7
4,Spring,Delaware,18.5,6.3,8.8,12.2,12.4
4,Spring,Florida,27.9,14.8,7.9,13.1,21.35
4,Spring,Georgia,24.7,10.3,9.6,14.4,17.5
4,Spring,Hawaii,25.9,18.4,7.7,7.5,22.15
4,Spring,Idaho,11.8,-1.2,5.6,13,5.3
4,Spring,Illinois,17.7,5.1,10.8,12.6,11.4
4,Spring,Indiana,17.5,4.8,11.2,12.7,11.15
4,Spring,Iowa,15.6,2.9,9.3,12.7,9.25
4,Spring,Kansas,19.5,4.8,6.8,14.7,12.15
4,Spring,Kentucky,20.4,6.7,12,13.7,13.55
4,Spring,Louisiana,25.3,13.2,13,12.1,19.25
4,Spring,Maine,9.8,-1.7,9.4,11.5,4.05
4,Spring,Maryland,18.6,6.1,8.9,12.5,12.35
4,Spring,Massachusetts,14,1.9,10.5,12.1,7.95
4,Spring,Michigan,12.1,0,7.9,12.1,6.05
4,Spring,Minnesota,11.7,-0.7,5.8,12.4,5.5
4,Spring,Mississippi,24.4,11,14.4,13.4,17.7
4,Spring,Missouri,19.5,6.5,11.7,13,13
4,Spring,Montana,11.8,-1.7,4.6,13.5,5.05
4,Spring,Nebraska,16.2,1.6,6.4,14.6,8.9
4,Spring,Nevada,16,1.1,2.5,14.9,8.55
4,Spring,New Hampshire,12,-0.9,9.8,12.9,5.55
4,Spring,New Jersey,17.1,4.6,9.4,12.5,10.85
4,Spring,New Mexico,20.7,2.5,1.6,18.2,11.6
4,Spring,New York,12.7,0.5,9,12.2,6.6
4,Spring,North Carolina,21.9,8.2,9.8,13.7,15.05
4,Spring,North Dakota,11.8,-1.6,3.2,13.4,5.1
4,Spring,Ohio,17,4.2,9.9,12.8,10.6
4,Spring,Oklahoma,22.3,8.2,9.1,14.1,15.25
4,Spring,Oregon,13.1,0.6,7.3,12.5,6.85
4,Spring,Pennsylvania,15.7,2.6,9.7,13.1,9.15
4,Spring,Rhode Island,14.3,3.1,11.2,11.2,8.7
4,Spring,South Carolina,24.2,10.1,8.6,14.1,17.15
4,Spring,South Dakota,13.9,0,5.5,13.9,6.95
4,Spring,Tennessee,21.5,7.7,13,13.8,14.6
4,Spring,Texas,26,11.3,5.5,14.7,18.65
4,Spring,Utah,15.3,0.8,3.2,14.5,8.05
4,Spring,Vermont,11.2,-1.1,9.2,12.3,5.05
4,Spring,Virginia,20,6.2,9.3,13.8,13.1
4,Spring,Washington,13.2,1.6,8.4,11.6,7.4
4,Spring,West Virginia,18.5,4.4,10.2,14.1,11.45
4,Spring,Wisconsin,12.4,-0.1,8.1,12.5,6.15
4,Spring,Wyoming,11.3,-2.8,4.6,14.1,4.25
5,Spring,Alabama,28.2,15,10.6,13.2,21.6
5,Spring,Alaska,9.4,-0.4,5.4,9.8,4.5
5,Spring,Arizona,28.1,10.5,0.9,17.6,19.3
5,Spring,Arkansas,26.6,14.7,13.9,11.9,20.65
5,Spring,California,24.2,9.5,2.5,14.7,16.85
5,Spring,Colorado,19.5,3.8,5,15.7,11.65
5,Spring,Connecticut,20.8,8.1,9.6,12.7,14.45
5,Spring,Delaware,23.4,11.6,9.1,11.8,17.5
5,Spring,Florida,30.8,18.4,9.3,12.4,24.6
5,Spring,Georgia,28.6,15.1,8.4,13.5,21.85
5,Spring,Hawaii,26.9,19.2,6.4,7.7,23.05
5,Spring,Idaho,17.1,3,5.9,14.1,10.05
5,Spring,Illinois,23.4,11.3,12.1,12.1,17.35
5,Spring,Indiana,23.1,10.7,12.1,12.4,16.9
5,Spring,Iowa,21.7,9.3,12.3,12.4,15.5
5,Spring,Kansas,24.7,10.8,10.7,13.9,17.75
5,Spring,Kentucky,24.8,12,12.9,12.8,18.4
5,Spring,Louisiana,29.1,17.8,12.4,11.3,23.45
5,Spring,Maine,17.4,4.3,9.3,13.1,10.85
5,Spring,Maryland,23.5,11.4,10.2,12.1,17.45
5,Spring,Massachusetts,20.1,7.6,9.4,12.5,13.85
5,Spring,Michigan,19.3,6.1,8.8,13.2,12.7
5,Spring,Minnesota,19.2,6.1,8.8,13.1,12.65
5,Spring,Mississippi,28.4,15.9,11.9,12.5,22.15
5,Spring,Missouri,24.2,12.1,13.7,12.1,18.15
5,Spring,Montana,17.3,3.2,6.7,14.1,10.25
5,Spring,Nebraska,21.7,7.6,9.8,14.1,14.65
5,Spring,Nevada,21.3,5.6,2.7,15.7,13.45
5,Spring,New Hampshire,18.9,5.2,10,13.7,12.05
5,Spring,New Jersey,22.4,10.1,9.5,12.3,16.25
5,Spring,New Mexico,25.6,7.3,2.3,18.3,16.45
5,Spring,New York,19.6,6.8,9.4,12.8,13.2
5,Spring,North Carolina,25.7,13,10.2,12.7,19.35
5,Spring,North Dakota,19.1,5,6.9,14.1,12.05
5,Spring,Ohio,22.6,9.8,10.8,12.8,16.2
5,Spring,Oklahoma,26.7,13.8,12.5,12.9,20.25
5,Spring,Oregon,18,4.1,6,13.9,11.05
5,Spring,Pennsylvania,21.4,8.1,10.3,13.3,14.75
5,Spring,Rhode Island,20,8.5,9,11.5,14.25
5,Spring,South Carolina,28.1,14.8,9,13.3,21.45
5,Spring,South Dakota,20.2,6.4,8.4,13.8,13.3
5,Spring,Tennessee,25.6,12.9,12.4,12.7,19.25
